#{"t_start": 1592293946.6467316, "env_id": null}
r,l,t
-1,10,19.294302
85,10,19.315148
62,10,19.370872
45,10,19.392062
-9,10,19.412669
134,10,19.434625
71,10,19.455569
79,10,19.481464
-72,10,19.502416
-47,10,19.522759
36,10,19.544176
111,10,19.569116
8,10,19.591058
-1,10,19.610911
125,10,19.632867
80,10,19.688107
22,10,19.717033
-7,10,19.742798
42,10,19.768223
-53,10,19.791162
76,10,19.817054
-27,10,19.840986
-47,10,19.863961
-4,10,19.885866
22,10,19.906812
16,10,19.928788
59,10,19.949698
102,10,19.970676
-1,10,20.027411
99,10,20.048316
-41,10,20.068563
34,10,20.088508
25,10,20.109352
-101,10,20.129555
59,10,20.152492
82,10,20.172438
65,10,20.193383
42,10,20.214329
79,10,20.234333
102,10,20.255274
33,10,20.275142
71,10,20.327741
142,10,20.349921
96,10,20.378869
5,10,20.406757
94,10,20.438672
82,10,20.468593
99,10,20.49153
-1,10,20.513471
57,10,20.539401
71,10,20.560345
-84,10,20.58827
62,10,20.609215
14,10,20.628165
154,10,20.685012
-67,10,20.70534
128,10,20.725286
91,10,20.746192
128,10,20.767171
-15,10,20.788095
-50,10,20.809155
39,10,20.82826
65,10,20.850236
71,10,20.87218
114,10,20.892128
16,10,20.912073
25,10,20.963449
42,10,20.984392
8,10,21.004092
51,10,21.025035
191,10,21.056988
2,10,21.081882
-15,10,21.106817
-78,10,21.128796
51,10,21.155685
-15,10,21.179623
36,10,21.206551
77,10,21.229525
57,10,21.256421
-38,10,21.315293
42,10,21.334247
116,10,21.354156
59,10,21.37314
151,10,21.392055
2,10,21.412759
76,10,21.434525
31,10,21.457462
-12,10,21.47841
-35,10,21.501348
85,10,21.524684
2,10,21.546586
22,10,21.571116
119,10,21.626484
31,10,21.648049
42,10,21.668991
76,10,21.690846
100,10,21.711094
-41,10,21.733061
68,10,21.755003
8,10,21.774914
28,10,21.795857
134,10,21.817798
14,10,21.838111
-75,10,21.858547
171,10,21.880522
94,10,21.934427
114,10,21.954409
5,10,21.974797
19,10,21.995738
45,10,22.017181
8,10,22.036095
62,10,22.057633
168,10,22.079254
-15,10,22.100162
45,10,22.121634
68,10,22.143611
5,10,22.163521
28,10,22.185742
82,10,22.237996
8,10,22.257943
-78,10,22.278888
25,10,22.299832
-29,10,22.320627
-24,10,22.341536
28,10,22.362517
-38,10,22.383911
48,10,22.409877
68,10,22.435284
2,10,22.458187
85,10,22.483195
-18,10,22.539584
139,10,22.562572
-32,10,22.584512
191,10,22.607226
45,10,22.628214
128,10,22.652151
2,10,22.674304
82,10,22.695444
128,10,22.717386
2,10,22.738292
-75,10,22.757807
56,10,22.779749
111,10,22.801726
116,10,22.852273
51,10,22.872255
71,10,22.89117
-7,10,22.912358
-1,10,22.93318
62,10,22.955012
-35,10,22.97546
-1,10,22.994409
139,10,23.017241
-1,10,23.039351
39,10,23.061291
-18,10,23.081663
119,10,23.103606
54,10,23.160596
108,10,23.181303
-32,10,23.201285
5,10,23.220242
-15,10,23.23806
162,10,23.257418
62,10,23.277513
94,10,23.296859
25,10,23.315712
54,10,23.334339
74,10,23.353338
33,10,23.373535
131,10,23.393621
85,10,23.446702
-3,10,23.466427
64,10,23.486284
65,10,23.505028
-12,10,23.523897
50,10,23.544841
84,10,23.564972
25,10,23.583915
42,10,23.60369
131,10,23.622504
105,10,23.64114
-18,10,23.661049
-44,10,23.680763
36,10,23.735615
131,10,23.756559
-38,10,23.778767
45,10,23.799709
82,10,23.818944
119,10,23.839328
119,10,23.858898
99,10,23.87785
99,10,23.896799
-12,10,23.916744
91,10,23.935658
108,10,23.954472
19,10,24.003525
91,10,24.022375
71,10,24.04134
134,10,24.060153
53,10,24.079774
-38,10,24.09769
53,10,24.116166
-15,10,24.134032
68,10,24.152946
102,10,24.171972
-1,10,24.189637
-24,10,24.208055
-47,10,24.22597
14,10,24.277156
113,10,24.29607
19,10,24.316025
16,10,24.335725
140,10,24.355722
51,10,24.376496
105,10,24.397141
90,10,24.419573
-61,10,24.441964
165,10,24.464903
128,10,24.4877
68,10,24.508608
-41,10,24.528595
150,10,24.592764
114,10,24.619766
91,10,24.643669
125,10,24.668566
19,10,24.691504
59,10,24.719468
96,10,24.745361
77,10,24.776316
70,10,24.809204
45,10,24.834126
65,10,24.859056
142,10,24.882993
-23,10,24.905931
22,10,24.966769
62,10,24.986715
-21,10,25.005665
45,10,25.024614
16,10,25.043563
114,10,25.060518
-4,10,25.079505
-52,10,25.096421
36,10,25.115373
119,10,25.135355
94,10,25.154175
68,10,25.172523
102,10,25.191534
-1,10,25.241811
162,10,25.262478
25,10,25.283423
188,10,25.305532
42,10,25.32947
42,10,25.352407
145,10,25.373194
28,10,25.393468
156,10,25.416587
65,10,25.436173
108,10,25.458537
48,10,25.487461
-41,10,25.544305
5,10,25.565247
79,10,25.58697
19,10,25.60721
-24,10,25.62712
154,10,25.648644
50,10,25.669557
88,10,25.689542
8,10,25.710376
62,10,25.730322
39,10,25.750085
45,10,25.769995
148,10,25.789357
62,10,25.842363
116,10,25.862953
110,10,25.885213
33,10,25.905934
19,10,25.927315
45,10,25.946951
93,10,25.967895
-18,10,25.987843
82,10,26.009022
134,10,26.029964
79,10,26.054852
8,10,26.0788
8,10,26.10706
5,10,27.249476
