#{"t_start": 1589363563.0265014, "env_id": null}
r,l,t
-106,10,17.767599
100,10,17.785587
40,10,17.801575
-108,10,17.8165
-103,10,17.830305
38,10,17.845273
19,10,17.860486
38,10,17.876443
77,10,17.892442
20,10,17.90736
80,10,17.923363
60,10,17.940315
18,10,17.982378
37,10,17.998069
0,10,18.012792
19,10,18.028787
60,10,18.048739
0,10,18.063079
100,10,18.079319
-105,10,18.094027
19,10,18.109317
80,10,18.125556
17,10,18.141055
75,10,18.157323
40,10,18.20056
-20,10,18.21568
-3,10,18.231134
0,10,18.246545
17,10,18.261503
-1,10,18.276453
33,10,18.291816
35,10,18.307689
19,10,18.32128
60,10,18.337219
73,10,18.354172
0,10,18.374119
-3,10,18.391075
58,10,18.43418
-1,10,18.449145
-108,10,18.465138
55,10,18.480102
-21,10,18.494066
-4,10,18.50902
53,10,18.523982
18,10,18.538941
100,10,18.553864
60,10,18.568825
0,10,18.582787
94,10,18.597746
40,10,18.611709
